NAME,PRICE,PEGI,GENRE,MODE,OS,CPU,GPU,RAM,STORAGE
Counter-Strike 2,Free To Play,16+,"Action, Free To Play",Cross-Platform Multiplayer,Windows® 10,4 hardware CPU threads - Intel® Core™ i5 750 or higher,Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0,8 GB RAM,85 GB available space
ARC Raiders,"39,99€",16+,Action,"Cross-Platform Multiplayer, Online Co-op, Online PvP",Windows 10 or later 64-bit (latest update),Intel Core i5-6600K or AMD Ryzen R5 1600 processor,NVIDIA GeForce GTX 1050 Ti or AMD Radeon RX 580 or Intel Arc A380,12 GB RAM,N/A
Dead by Daylight,"69,99€",18+,Action,"Cross-Platform Multiplayer, Online Co-op, Online PvP",Windows 10 64-bit Operating System,Intel Core i3-4170 or AMD FX-8120,DX11 Compatible GeForce GTX 460 1GB or AMD HD 6850 1GB,8 GB RAM,50 GB available space
EA SPORTS FC™ 26,"0,99€",12+,"Simulation, Sports","Cross-Platform Multiplayer, Online Co-op, Online PvP, Shared/Split Screen Co-op, Shared/Split Screen PvP, Single-player",Windows 10/11 - 64-Bit (Latest Update).,AMD Ryzen 5 1600 or Intel Core i5 6600k,AMD RX 570 or Nvidia GTX 1050 Ti,8 GB RAM,100 GB available space
Grand Theft Auto V Enhanced,"14,99€",18+,"Action, Adventure, Racing","Online Co-op, Online PvP, Single-player",Windows 10 (latest service pack),Intel® Core™ i7-4770 | AMD FX™-9590,NVIDIA GeForce® GTX 1630 (4GB VRAM) | AMD Radeon™ RX 6400 (4GB VRAM),8 GB RAM,105 GB available space
Red Dead Redemption 2,"14,99€",18+,"Action, Adventure","Online Co-op, Online PvP, Single-player",Windows 10 - 64-bit,Intel® Core™ i5-2500K / AMD FX-6300,Nvidia GeForce GTX 770 2GB / AMD Radeon R9 280 3GB,8 GB RAM,150 GB available space
Warframe,Free To Play,16+,"Action, RPG, Free To Play","Cross-Platform Multiplayer, Online Co-op, Single-player",N/A,"Intel Core i7 860, Intel Core i5 750, or AMD FX-4100 (SSE 4.2 support required)",N/A,4 GB RAM,50 GB available HD space
Where Winds Meet,Free To Play,12+,"Action, Adventure, RPG, Free To Play","Cross-Platform Multiplayer, Online Co-op, Online PvP, Single-player",Windows 10/11 64bit,Core i7-7700K / Ryzen 5 1600,GTX 1060(6GB) / RX 480(8GB),16 GB RAM,100 GB available space
War Thunder,Free To Play,12+,"Action, Massively Multiplayer, Simulation, Free To Play","Cross-Platform Multiplayer, MMO, Online Co-op, Online PvP, Single-player",Windows 10 (64bit),Dual-Core 2.2 GHz,DirectX 11 level video card: AMD Radeon 77XX / NVIDIA GeForce GTX 660. The minimum supported resolution for the game is 720p.,4 GB RAM,70 GB available space
No Rest for the Wicked,"23,99€",18+,"Action, Adventure, RPG, Early Access","Online Co-op, Single-player",Windows 10,Intel Core i5-8400 / AMD Ryzen 5 2600,Nvidia GeForce GTX 1080 / AMD Radeon 5600 XT,16 GB RAM,46 GB available space
Euro Truck Simulator 2,"19,99€",N/A,"Indie, Simulation","Online Co-op, Single-player",Windows 10 64-bit,Intel Core i5-6400 or AMD Ryzen 3 1200 or similar,NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM),8 GB RAM,N/A
