NAME,PRICE,PEGI,MODE,OS,CPU,GPU,RAM,STORAGE
Counter-Strike 2,Free To Play,16+,Cross-Platform Multiplayer,Windows® 10,4 hardware CPU threads - Intel® Core™ i5 750 or higher,Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0,8 GB RAM,85 GB available space
ARC Raiders,"39,99€",16+,"Cross-Platform Multiplayer, Online Co-op, Online PvP",Windows 10 or later 64-bit (latest update),Intel Core i5-6600K or AMD Ryzen R5 1600 processor,NVIDIA GeForce GTX 1050 Ti or AMD Radeon RX 580 or Intel Arc A380,12 GB RAM,N/A
Where Winds Meet,Free To Play,12+,"Cross-Platform Multiplayer, Online Co-op, Online PvP, Single-player",Windows 10/11 64bit,Core i7-7700K / Ryzen 5 1600,GTX 1060(6GB) / RX 480(8GB),16 GB RAM,100 GB available space
Euro Truck Simulator 2,"200,56€",N/A,"Online Co-op, Single-player",Windows 10 64-bit,Intel Core i5-6400 or AMD Ryzen 3 1200 or similar,NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM),8 GB RAM,N/A
StarRupture,"5,98€",16+,"Online Co-op, Single-player",Windows 10 or later (64-Bit),Intel Core i5-8400 / AMD Ryzen 5 2600,NVIDIA GeForce GTX 1060 (6 GB VRAM) / AMD Radeon RX 580 (8 GB VRAM),16 GB RAM,45 GB available space
Warframe,Free To Play,16+,"Cross-Platform Multiplayer, Online Co-op, Single-player",N/A,"Intel Core i7 860, Intel Core i5 750, or AMD FX-4100 (SSE 4.2 support required)",N/A,4 GB RAM,50 GB available HD space
Grand Theft Auto V Enhanced,"29,99€",18+,"Online Co-op, Online PvP, Single-player",Windows 10 (latest service pack),Intel® Core™ i7-4770 | AMD FX™-9590,NVIDIA GeForce® GTX 1630 (4GB VRAM) | AMD Radeon™ RX 6400 (4GB VRAM),8 GB RAM,105 GB available space
War Thunder,Free To Play,12+,"Cross-Platform Multiplayer, MMO, Online Co-op, Online PvP, Single-player",Windows 10 (64bit),Dual-Core 2.2 GHz,DirectX 11 level video card: AMD Radeon 77XX / NVIDIA GeForce GTX 660. The minimum supported resolution for the game is 720p.,4 GB RAM,40 GB available space
ARK: Survival Ascended,"64,94€",16+,"Cross-Platform Multiplayer, LAN Co-op, LAN PvP, MMO, Online Co-op, Online PvP, Shared/Split Screen Co-op, Single-player",Windows 10/11 with updates,"AMD Ryzen 5 2600X, Intel Core i7-6800K","AMD Radeon RX 5600 XT, NVIDIA GeForce 1080",16 GB RAM,180 GB available space
Path of Exile 2,"27,75€",18+,"MMO, Online Co-op, Single-player",Windows 10,Intel® Core™ i7-7700 or AMD™ Ryzen 5 2500x,"NVIDIA® GeForce® GTX 960 (3GB), Intel® Arc™ A380, or ATI Radeon™ RX 470",8 GB RAM,100 GB available space
